Film,Year released,Year watched,Category,Location of screening
Les Miserables,2012,May-25,,
Star Wars: Episode III - Revenge of the Sith,2005,Apr-25,,In cinemas
Catching Fire,2013,Apr-25,HG,
The Hunger Games,2012,Apr-  25,HG,
Star Wars: Episode II - Attack of the Clones,2002,Apr-24,,
Star Wars: Episode I - The Phantom Menace,1999,Mar-24,,
Conclave,2024,Feb-24,,In cinemas
Mufasa: The Lion King,2024,Feb-24,,In cinemas
The Last Dance,2024,Nov-24,,In cinemas
Wicked,2024,Nov-24,,In cinemas
The Maze Runner,2014,Sep-24,,
The Divergent Series: Allegiant,2016,Sep-24,,
The Divergent Series: Insurgent,2015,Sep-24,,
The Least of These: The Graham Staines Story,2019,Aug-24,,
Deadpool and Wolverine,2024,Aug-24,,
Divergent,2014,Aug-24,,
The Meg,2018,Jul-24,,
Despicable Me 4,2024,Jul-24,,
On the basis of sex,2018,Jul-24,,
Jurassic World: Fallen Kingdom,2018,Jun-24,,
Crazy Rich Asians,2018,Jun-24,,
Arrival,2016,Jun-24,,
Kung Fu Panda 4,2024,Mar-24,,In cinemas
Damsel,2024,Mar-24,,
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Oct-23,,In cinemas
The Princess Bride,1987,Oct-23,,
Hercules,1997,Aug-23,,
Ladybug & Cat Noir: The Movie,2023,Aug-23,,
Oppenheimer,2023,Jul-23,,In cinemas on release date
Barbie,2023,Jul-23,,In cinemas on release date
10 Things I hate About You,1999,Jul-23,,Drive-in cinema
Prisoners,2013,Jul-23,Thriller,
The Great Gatsby,2013,Jun-23,,
Spiderman: Across the Multiverse,2023,Jun-23,Superhero,In cinemas
Everything Everywhere All At Once,2022,May-23,,In cinemas
Guardians of the Galaxy Vol. 3,2023,May-23,,In cinemas
Air,2023,Apr-23,,In cinemas
The Super Mario Bros. Movie,2023,Apr-23,,In cinemas
The Menu,2022,Mar-23,,
The Notebook,2004,Feb-23,,
Matilda the Musical,2022,Feb-23,,
Avatar: The Way of Water,2022,2022,,In IMAX
Avatar (3D),2009,2022,,In IMAX
Elvis,2022,2022,,In cinemas (on release date)
Top Gun: Maverick,2022,2022,,"In IMAX (4k Digital), In cinemas (second time)"
The Batman,2022,2022,Superhero,In cinemas
Interstellar,2014,2022,,In IMAX (15/70 Film)
Fantastic Mr Fox,2009,2021,Family,
Spiderman: No Way Home,2021,2021,Superhero,In cinemas
Shang Chi and the Legend of the Ten Rings,2021,2021,Superhero,In cinemas
Eternals,2021,2021,Superhero,In cinemas
A Quiet Place 2,2021,2021,,In cinemas
Sonic the Hedgehog,2020,2021,Family,
And Then There Were None,1974,2021,,TV film
Wonder Woman 1984,2020,2020,Superhero,In cinemas
Frozen 2,2019,2020,Family,
The Grinch,2018,2020,Christmas,TV film
The Queen,2006,2020,,Year 12 English
Pride and Prejudice,2005,2020,,
The Passion of the Christ*,2004,2020,,Year 12 CE
Home Alone,1990,2020,Christmas,TV film
Avengers: Endgame,2019,2019,Superhero,In cinemas
Star Wars: The Rise of Skywalker,2019,2019,Star Wars,In cinemas
The Lion King,2019,2019,Family,In cinemas
Toy Story 4,2019,2019,Family,In cinemas
Aladdin,2019,2019,,In cinemas
Moana,2016,2019,Family,
Trolls,2016,2019,Family,TV film
Avengers: Age of Ultron,2015,2019,,
The Avengers,2012,2019,,
Tangled,2010,2019,,
Ratatouille,2007,2019,Family,
Cars,2006,2019,Family,
Blood Diamond,2006,2019,,Year 11 CE
The Return of the King,2003,2019,LOTR,
Spirited Away,2001,2019,Anime,
Prince of Egypt,1998,2019,Family,
Dead Poets' Society,1989,2019,,"Year 11 CE, rewatched in 2020"
Snow White and the Seven Dwarves,1937,2019,Family,
Mortal Engines,2018,2018,,In cinemas
Avengers: Infinity War,2018,2018,Superhero,In cinemas
Sometimes Always Never,2018,2018,,In cinemas
Incredibles 2,2018,2018,Family,In cinemas
Peter Rabbit,2018,2018,Family,In cinemas
Ready Player One,2018,2018,,In cinemas
Instant Family,2018,2018,,Year 10 Immersion
Despicable Me 3,2017,2018,Family,On a plane
The Other Guys,2010,2018,,Year 10 Immersion
17 Again,2009,2018,,TV film
Casino Royale,2006,2018,James Bond,On a plane
The Incredibles,2004,2018,Family,After seeing incredibles 2
The Two Towers,2002,2018,LOTR,
The Fellowship of the Ring,2001,2018,LOTR,
Gattaca,1997,2018,,Year 10 Biology
Beauty and the Beast,2017,2017,Family,In cinemas
Guardians of the Galaxy Vol. 2,2017,2017,,
Darkest Hour,2017,2017,Historical,In cinemas
The NeverEnding Story,1984,2017,,Year 10 CE
The Post,2017,2017,Historical,In cinemas
Coco,2017,2017,Family,In cinemas
Wonder,2017,2017,,In cinemas
Karate Kid*,1984,2017,,At a resort
Skyfall,2012,2017,James Bond,On a plane
The Simpsons Movie,2011,2017,,On a plane
Kung Fu Panda 2,2011,2017,Family,TV film
Kung Fu Panda,2008,2017,Family,TV film
Revenge of the Sith,2005,2017,Star Wars,TV film
A Series of Unfortunate Events,2004,2017,,TV film
Artificial Intelligence,2001,2017,,Year 9 CE
Romeo + Juliet,1996,2017,,Year 9 English
Indiana Jones and the Last Crusade,1989,2017,Indiana Jones,TV film
The Castle*,1997,2017,,Year 9 Cadet Camp
Stand By Me,1986,2017,,Year 9 CE
Gallipoli,1981,2017,,Year 9 History
Romeo and Juliet,1968,2017,,Year 9 English
Miss Peregine's Home for Peculiar Children,2016,2016,,In cinemas
Kung Fu Panda 3,2016,2016,Family,In cinemas
Zootopia,2016,2016,Family,In cinemas
Finding Dory,2016,2016,Family,In cinemas
La La Land,2016,2016,,In cinemas
The BFG,2016,2016,,In cinemas
Storks,2016,2016,,In cinemas
Troy*,2004,2016,,Year 8 History
Harry Potter and the Deathly Hallows Part 1,2010,2016,Harry Potter,TV film
Harry Potter and the Half Blood Prince,2009,2016,Harry Potter,TV film
The Black Balloon,2008,2016,,Year 9 English
Harry Potter and the Order of the Phoenix,2007,2016,Harry Potter,TV film
Atlantis: The Lost Empire,2001,2016,,
Rush Hour,1998,2016,,Year 8 Chinese
Return of the Jedi,1983,2016,Star Wars,
The Truman Show,1998,2016,,Year 8 English
Star Wars: The Force Awakens,2015,2015,Star Wars,In cinemas (on release date)
The Martian*,2015,2015,,In cinemas
Minions,2015,2015,Family,In cinemas
Supervolcano,2005,2015,,Year 7 Geography
Inside Out,2015,2015,,In cinemas
The Blind Side,2009,2015,,Year 7 English
The Mummy,1999,2015,,Year 7 English
Jurassic World,2015,2015,,In cinemas
Mockingjay Part 2,2015,2015,HG,In cinemas
Frozen,2014,2015,Family,Friend's house
Mockingjay Part 1,2014,2015,HG,
Iron Man 3,2013,2015,Superhero,TV film
Monsters University,2013,2015,,TV film
Catching Fire,2013,2015,HG,
The Hunger Games,2012,2015,HG,
Prince Caspian,2008,2015,Narnia,
Supervolcano,2005,2015,,Year 7 English
"The Lion, The Witch and the Wardrobe",2005,2015,Narnia,Year 7 English
Shrek 2,2004,2015,Family,
Monsters Inc.,2001,2015,,TV film
Back to the Future III,1990,2015,BTTF,TV film
Back to the Future II,1989,2015,BTTF,TV film
Back to the Future,1985,2015,BTTF,TV film
Raiders of the Lost Ark,1981,2015,Indiana Jones,Year 7 English
The Empire Strikes Back,1980,2015,Star Wars,Year 7 English
Star Wars (A New Hope),1977,2015,Star Wars,Year 7 English
The Lego Movie,2014,2014,Family,"In cinemas, also at Year 6 camp"
Mr Peabody and Sherman,2014,2014,,"At primary school, Year 6"
Night at the Museum II,2014,2014,,In cinemas
Big Hero 6,2014,2014,Family,"In cinemas, at Year 6 Graduation"
The Lorax,2012,2014,Family,"At primary school, Year 6, rewatched many times on TV"
Bridge to Terabithia,2007,2014,,Also in Year 9 CE
Meet the Robinsons,2007,2014,,"At primary school, Year 6"
Charlotte's Web,2006,2014,,"Around Year 6 on DVD, rewatched once on TV"
National Treasure,2004,2014,,"At primary school, Year 6"
Charlie and the Chocolate Factory,2005,2013,Family,
Despicable Me 2,2013,2013,Family,In cinemas
